rank,system_rank,cns_name,component,n_objects,lhs,ra_2000,dec_2000,proper_motion_arcsec_yr,proper_motion_angle_deg,parallax_arcsec,parallax_error,spectral_type,V_mag,Mv_mag,mass_msun,notes,common_name,distance_ly
66,66,GJ 764,,1,477,19 32 21.6,+69 39 40,1.839,161.0,0.17379,0.00018,G9.0 V,4.67,5.87,0.89,,sigma Draconis,18.76
67,67,GJ 229,A,2,1827,06 10 34.6,-21 51 53,0.727,190.9,0.17377,0.00097,M1.5 V,8.14,9.34,0.56,,,18.76
67,67,GJ 229,B,,,06 10 34.6,-21 51 53,0.727,190.9,0.17377,0.00097,T6.0 V,,,0.03,separation 8",,18.76
68,68,GJ 213,,1,31,05 42 09.3,+12 29 22,2.542,128.2,0.17150,0.00100,M4.0 V,11.57,12.74,0.18,,Ross 47,19.01
69,69,GJ 693,,1,454,17 46 34.2,-57 19 09,1.756,219.6,0.17110,0.00222,M3.0 V,10.76,11.93,0.26,,,19.06
70,70,GJ 752,A,2,473,19 16 55.3,+05 10 08,1.452,203.5,0.17096,0.00052,M2.5 V,9.10,10.26,0.50,,Wolf 1055,19.07
70,70,GJ 752,B,,474,19 16 58.3,+05 09 01,1.461,203.1,0.17096,0.00052,M8.0 V,17.45,18.61,0.07,separation 74",van Biesbroeck 10,19.07
71,71,GJ 570,A,4,387,14 57 28.0,-21 24 56,2.012,149.1,0.17062,0.00067,K4.0 V,5.64,6.80,0.78,,,19.11
71,71,GJ 570,B,,386,14 57 26.5,-21 24 41,1.937,149.4,0.17062,0.00067,M1.5 VJ,8.30,9.46,0.55,separation 22",,19.11
71,71,GJ 570,C,,,14 57 26.5,-21 24 41,1.937,149.4,0.17062,0.00067,M V,9.96,11.12,0.36,orbit < 2",,19.11
71,71,GJ 570,D,,,14 57 15.0,-21 21 50,2.012,149.1,0.17062,0.00067,T7.0 V,,,0.03,separation 258",,19.11
72,72,GJ 754,,1,60,19 20 48.0,-45 33 27,2.945,167.3,0.16917,0.00153,M4.0 V,12.23,13.37,0.16,,,19.27
73,73,GJ 588,,1,397,15 32 12.9,-41 16 32,1.564,228.9,0.16852,0.00127,M2.5 V,9.31,10.44,0.46,,,19.35
74,74,GJ 1005,A,2,1047,00 15 28.1,-16 08 02,0.955,130.3,0.16835,0.00090,M3.5 VJ,11.60,12.73,0.18,,,19.37
74,74,GJ 1005,B,,,00 15 28.1,-16 08 02,0.955,130.3,0.16835,0.00090,M V,14.02,15.15,0.11,orbit < 2",,19.37
75,75,GJ 34,A,2,123,00 49 06.3,+57 48 55,1.223,117.2,0.16823,0.00046,G3 V,3.46,4.59,1.11,,eta Cassiopei A,19.38
75,75,GJ 34,B,,122,00 49 06.3,+57 48 55,1.223,117.2,0.16823,0.00046,K7.0 V,7.21,8.34,0.60,orbit 12",eta Cassiopei B,19.38
76,76,GJ 663,A,3,437,17 15 21.0,-26 36 10,1.238,202.5,0.16812,0.00040,K1.5 VJ,5.07,6.20,0.85,,36 Ophiuchi A,19.39
76,76,GJ 663,B,,438,17 15 21.0,-26 36 10,1.238,202.5,0.16812,0.00040,K V,5.08,6.21,0.85,orbit 14",36 Ophiuchi B,19.39
76,76,GJ 664,,,439,17 16 13.4,-26 32 46,1.222,203.1,0.16812,0.00040,K5.0 V,6.32,7.45,0.71,separation 732",36 Ophiuchi C,19.39
77,77,GJ 908,,1,550,23 49 12.5,+02 24 04,1.388,134.2,0.16802,0.00118,M1.0 V,8.98,10.11,0.51,,,19.40
78,78,GJ 285,,1,1943,07 44 40.2,+03 33 09,0.568,217.4,0.16719,0.00205,M4.0 V,11.19,12.31,0.20,,Ross 882,19.50
79,79,GJ 783,A,2,486,20 11 11.9,-36 06 04,1.640,163.8,0.16626,0.00027,K2.5 V,5.31,6.42,0.82,,,19.61
79,79,GJ 783,B,,487,20 11 11.9,-36 06 04,1.640,163.8,0.16626,0.00027,M4.0 V,11.50,12.61,0.19,separation 7",,19.61
80,80,GJ 139,,1,19,03 19 55.6,-43 04 11,3.124,076.6,0.16547,0.00019,G8.0 V,4.26,5.35,0.97,,82 Eridani,19.70
81,81,GJ 1221,,1,455,17 48 06.7,+70 52 29,1.651,311.0,0.16470,0.00240,DXP9,14.22,15.30,0.50,*,,19.80
82,82,GJ 338,A,2,260,09 14 22.8,+52 41 12,1.634,249.8,0.16373,0.00252,M0.0 V,7.64,8.71,0.60,,,19.91
82,82,GJ 338,B,,261,09 14 24.7,+52 41 11,1.684,247.1,0.16373,0.00252,K7.0 V,7.70,8.77,0.60,orbit 17",,19.91
83,83,GJ 780,,1,485,20 08 43.6,-66 10 55,1.656,133.0,0.16371,0.00017,G8.0 IV,3.55,4.62,1.10,,delta Pavonis,19.92
84,84,GJ 268,A,2,226,07 10 01.8,+38 31 46,1.045,204.9,0.16341,0.00178,M4.5 VJ,12.05,13.12,0.17,,QY Aurigae A,19.95
84,84,GJ 268,B,,,07 10 01.8,+38 31 46,1.045,204.9,0.16341,0.00178,M V,12.45,13.52,0.16,orbit < 2",QY Aurigae B,19.95
85,85,2MA 0937+2931,,1,,09 37 34.9,+29 31 41,1.622,143.1,0.16330,0.00160,T6.0 V,,,0.03,,,19.96
86,86,GJ 784,,1,3531,20 13 53.4,-45 09 50,0.794,101.6,0.16135,0.00099,M0.0 V,7.95,8.99,0.58,,,20.20
87,87,GJ 555,,1,2945,14 34 16.8,-12 31 10,0.694,329.0,0.16078,0.00198,M4.0 V,11.32,12.35,0.20,,HN Librae,20.27
